spend_bin,cum_provider_share,cum_spend_share
284,0.2841272890254834,0.0051693647794702246
285,0.2851277372262774,0.005210486878504436
286,0.2861281854270713,0.0052517703719424285
287,0.2871286336278653,0.005293303719312656
288,0.28812908182865926,0.005335042167085113
289,0.2891295300294532,0.005376953857745668
290,0.29012997823024717,0.005419056426703929
291,0.2911304264310411,0.005461363884204103
292,0.29213087463183507,0.0055038714202323554
293,0.293131322832629,0.00554659740778606
294,0.294131771033423,0.0055895333371425385
295,0.29513221923421695,0.005632685375790979
296,0.2961326674350109,0.005676041392766642
297,0.29713311563580486,0.005719628596426731
298,0.2981335638365988,0.005763414148422321
299,0.29913401203739276,0.005807429325613343
300,0.3001344602381867,0.00585163557334569
301,0.30113490843898066,0.0058960380900437755
302,0.30213535663977464,0.005940656990667565
303,0.30313580484056857,0.00598546501193311
304,0.30413625304136255,0.006030460474651239
305,0.30513670124215647,0.006075678626101134
306,0.30613714944295045,0.006121126606760097
307,0.3071375976437444,0.006166794949610693
308,0.30813804584453836,0.006212690524419821
309,0.30913849404533233,0.0062588240889835094
310,0.31013894224612626,0.006305161290543912
311,0.31113939044692024,0.006351717073099959
312,0.31213983864771416,0.006398529151711172
313,0.31314028684850814,0.006445563616957034
314,0.31414073504930207,0.006492808573273154
315,0.31514118325009605,0.006540295909560375
316,0.31614163145089,0.006588043834035823
317,0.31714207965168395,0.006636028218163553
318,0.31814252785247793,0.006684252157458174
319,0.31914297605327185,0.00673269018160174
320,0.32014342425406583,0.00678134951346168
321,0.32114387245485976,0.006830223561828174
322,0.32214432065565374,0.006879326839132845
323,0.32314476885644766,0.00692867911115847
324,0.32414521705724164,0.006978292516716468
325,0.3251456652580356,0.007028153410433177
326,0.32614611345882955,0.007078239794145824
327,0.3271465616596235,0.007128543213058478
328,0.32814700986041745,0.007179074452430544
329,0.32914745806121143,0.007229846886925279
330,0.33014790626200535,0.007280851983279968
331,0.33114835446279933,0.007332086645980003
332,0.3321488026635933,0.007383558039042721
333,0.33314925086438724,0.007435266331171707
334,0.3341496990651812,0.007487189947924819
335,0.33515014726597514,0.007539379308133839
336,0.3361505954667691,0.00759183134767087
337,0.33715104366756304,0.00764453264086924
338,0.338151491868357,0.00769745011397968
339,0.339151940069151,0.007750586030768893
340,0.3401523882699449,0.007803983422420987
341,0.3411528364707389,0.007857608006798222
342,0.34215328467153283,0.007911468274006581
343,0.3431537328723268,0.00796557564488641
344,0.34415418107312074,0.008019917815846048
345,0.3451546292739147,0.008074515254945989
346,0.3461550774747087,0.008129372576033104
347,0.3471555256755026,0.00818448163425526
348,0.3481559738762966,0.008239821502521281
349,0.3491564220770905,0.008295415104901983
350,0.3501568702778845,0.00835126864811995
351,0.3511573184786784,0.008407363182446947
